funding,hs,not-hs,college,college4,crime rate
40,74,11,31,20,478
32,72,11,43,18,494
57,70,18,16,16,643
31,71,11,25,19,341
67,72,9,29,24,773
25,68,8,32,15,603
34,68,12,24,14,484
33,62,13,28,11,546
36,69,7,25,12,424
31,66,9,58,15,548
35,60,13,21,9,506
30,81,4,77,36,819
44,66,9,37,12,541
32,67,11,37,16,491
30,65,12,35,11,514
16,64,10,42,14,371
29,64,12,21,10,457
36,62,7,81,27,437
30,59,15,31,16,570
23,56,15,50,15,432
33,46,22,24,8,619
35,54,14,27,13,357
38,54,20,22,11,623
44,45,26,18,8,547
28,57,12,23,11,792
35,57,9,60,18,799
31,61,19,14,12,439
39,52,17,31,10,867
27,44,21,24,9,912
36,43,18,23,8,462
38,48,19,22,10,859
46,57,14,25,12,805
29,47,19,25,9,652
32,50,19,21,9,776
39,48,16,32,11,919
44,49,13,31,14,732
33,72,13,13,22,657
43,59,14,21,13,1419
22,49,9,46,13,989
30,54,13,27,12,821
86,62,22,18,15,1740
30,47,17,39,11,815
32,45,34,15,10,760
43,48,26,23,12,936
20,69,23,7,12,863
55,42,23,23,11,783
44,49,18,30,12,715
37,57,15,35,13,1504
82,72,22,15,16,1324
66,67,26,18,16,940
